n_components;n_neighbors;min_cluster_size;min_dist;coherence;diversity;score;n_topics;topic0_count
2;18;18;0,5;0,368954323;0,8;0,295163458;6;4708
2;18;16;0,5;0,368954323;0,8;0,295163458;6;4708
4;18;18;0,1;0,365893389;0,8;0,292714711;6;4715
4;18;16;0,1;0,365893389;0,8;0,292714711;6;4715
4;18;19;0,1;0,365893389;0,8;0,292714711;6;4715
4;18;17;0,1;0,365893389;0,8;0,292714711;6;4715
3;18;19;0,5;0,365320082;0,8;0,292256066;6;4706
4;16;16;0,1;0,424467708;0,6875;0,291821549;8;4688
4;16;18;0,1;0,424467708;0,6875;0,291821549;8;4688
4;16;19;0,1;0,424467708;0,6875;0,291821549;8;4688
4;16;17;0,1;0,424467708;0,6875;0,291821549;8;4688
4;18;14;0,3;0,430418929;0,677777778;0,291728385;9;4517
2;18;18;0,3;0,3636887;0,8;0,29095096;6;4708
2;18;17;0,3;0,3636887;0,8;0,29095096;6;4708
2;18;16;0,3;0,3636887;0,8;0,29095096;6;4708
2;18;15;0,3;0,3636887;0,8;0,29095096;6;4708
2;18;19;0,3;0,3636887;0,8;0,29095096;6;4708
3;18;13;0,3;0,435428966;0,666666667;0,290285978;9;4514
2;14;19;0,3;0,44559525;0,65;0,289636912;10;4430
3;15;17;0,1;0,445434316;0,65;0,289532306;10;4518
4;18;14;0,1;0,445434316;0,65;0,289532306;10;4516
3;15;18;0,1;0,445434316;0,65;0,289532306;10;4518
3;15;19;0,1;0,445434316;0,65;0,289532306;10;4518
3;16;11;0,1;0,381368092;0,754716981;0,287824975;53;380
2;13;19;0,3;0,428420449;0,671428571;0,28765373;7;4709
2;13;16;0,3;0,428420449;0,671428571;0,28765373;7;4709
2;13;17;0,3;0,428420449;0,671428571;0,28765373;7;4709
2;13;18;0,3;0,428420449;0,671428571;0,28765373;7;4709
4;10;13;0,1;0,407091794;0,706521739;0,287619202;46;406
4;19;11;0,5;0,410427715;0,7;0,2872994;8;4704
3;19;11;0,5;0,410427715;0,7;0,2872994;8;4704
4;18;11;0,5;0,410427715;0,7;0,2872994;8;4704
4;18;10;0,5;0,410427715;0,7;0,2872994;8;4704
4;19;10;0,3;0,410427715;0,7;0,2872994;8;4704
4;19;11;0,3;0,410427715;0,7;0,2872994;8;4704
3;19;10;0,5;0,410427715;0,7;0,2872994;8;4704
4;19;10;0,5;0,410427715;0,7;0,2872994;8;4704
3;16;16;0,5;0,366656233;0,783333333;0,287214049;6;4710
2;15;17;0,1;0,415637482;0,690909091;0,287167715;11;4384
2;18;17;0,5;0,358831592;0,8;0,287065273;6;4708
2;18;19;0,5;0,358831592;0,8;0,287065273;6;4708
3;18;14;0,1;0,428325065;0,67;0,286977793;10;4518
2;19;17;0,5;0,364698879;0,783333333;0,285680788;6;4715
2;19;16;0,5;0,364698879;0,783333333;0,285680788;6;4715
4;18;18;0,5;0,364698879;0,783333333;0,285680788;6;4716
4;18;19;0,5;0,364698879;0,783333333;0,285680788;6;4716
2;19;19;0,5;0,364698879;0,783333333;0,285680788;6;4715
4;18;19;0,3;0,364698879;0,783333333;0,285680788;6;4716
4;17;17;0,5;0,364698879;0,783333333;0,285680788;6;4716
3;17;19;0,5;0,364698879;0,783333333;0,285680788;6;4716
2;19;15;0,5;0,364698879;0,783333333;0,285680788;6;4715
4;15;19;0,5;0,364698879;0,783333333;0,285680788;6;4716
4;15;17;0,5;0,364698879;0,783333333;0,285680788;6;4716
4;15;18;0,5;0,364698879;0,783333333;0,285680788;6;4716
4;15;16;0,5;0,364698879;0,783333333;0,285680788;6;4716
4;18;15;0,5;0,364698879;0,783333333;0,285680788;6;4716
4;18;17;0,5;0,364698879;0,783333333;0,285680788;6;4716
4;17;19;0,5;0,364698879;0,783333333;0,285680788;6;4716
4;17;18;0,5;0,364698879;0,783333333;0,285680788;6;4716
4;18;16;0,5;0,364698879;0,783333333;0,285680788;6;4716
2;19;18;0,5;0,364698879;0,783333333;0,285680788;6;4715
3;19;17;0,3;0,372336196;0,766666667;0,28545775;6;4730
3;19;16;0,3;0,372336196;0,766666667;0,28545775;6;4730
3;19;18;0,3;0,372336196;0,766666667;0,28545775;6;4730
3;19;19;0,3;0,372336196;0,766666667;0,28545775;6;4730
3;19;15;0,3;0,372336196;0,766666667;0,28545775;6;4730
4;11;14;0,5;0,386672962;0,7375;0,28517131;8;4721
4;11;13;0,5;0,386672962;0,7375;0,28517131;8;4721
4;13;13;0,1;0,383204099;0,743902439;0,285066464;41;686
3;16;14;0,1;0,372079322;0,765116279;0,284683946;43;374
4;16;18;0,5;0,362742837;0,783333333;0,284148555;6;4709
4;16;16;0,5;0,362742837;0,783333333;0,284148555;6;4709
4;16;19;0,5;0,362742837;0,783333333;0,284148555;6;4709
4;16;17;0,5;0,362742837;0,783333333;0,284148555;6;4709
4;16;15;0,5;0,362742837;0,783333333;0,284148555;6;4709
3;11;17;0,5;0,362494189;0,783333333;0,283953782;6;4709
3;15;16;0,5;0,362494189;0,783333333;0,283953782;6;4709
3;15;15;0,5;0,362494189;0,783333333;0,283953782;6;4709
3;11;16;0,5;0,362494189;0,783333333;0,283953782;6;4709
3;12;16;0,5;0,362494189;0,783333333;0,283953782;6;4709
3;15;18;0,5;0,362494189;0,783333333;0,283953782;6;4709
3;15;17;0,5;0,362494189;0,783333333;0,283953782;6;4709
3;11;18;0,5;0,362494189;0,783333333;0,283953782;6;4709
3;15;19;0,5;0,362494189;0,783333333;0,283953782;6;4709
3;11;15;0,5;0,362494189;0,783333333;0,283953782;6;4709
3;11;19;0,5;0,362494189;0,783333333;0,283953782;6;4709
3;19;17;0,1;0,440694845;0,641666667;0,282779192;12;3980
3;19;19;0,1;0,440694845;0,641666667;0,282779192;12;3980
3;19;18;0,1;0,440694845;0,641666667;0,282779192;12;3980
4;13;15;0,1;0,381946272;0,738461538;0,282052632;39;715
2;15;16;0,5;0,394841054;0,714285714;0,282029324;7;4691
2;15;15;0,5;0,394841054;0,714285714;0,282029324;7;4691
2;15;17;0,5;0,394841054;0,714285714;0,282029324;7;4691
4;10;14;0,1;0,389886389;0,723255814;0,281987598;43;526
3;16;18;0,5;0,359811754;0,783333333;0,281852541;6;4709
3;16;19;0,5;0,359811754;0,783333333;0,281852541;6;4709
4;15;12;0,1;0,394124573;0,714583333;0,281634851;48;350
3;10;11;0,1;0,397094964;0,708196721;0,281221351;61;333
3;16;18;0,1;0,456160006;0,615384615;0,28071385;13;3960
2;19;10;0,5;0,393800942;0,7125;0,280583172;8;4703
2;19;11;0,5;0,393800942;0,7125;0,280583172;8;4703
4;13;14;0,1;0,381112509;0,735897436;0,280459718;39;671
3;13;11;0,1;0,377517669;0,742857143;0,280441697;63;360
3;18;15;0,1;0,427068858;0,655555556;0,279967362;9;4518
3;18;16;0,1;0,427068858;0,655555556;0,279967362;9;4518
3;18;18;0,1;0,427068858;0,655555556;0,279967362;9;4518
3;18;17;0,1;0,427068858;0,655555556;0,279967362;9;4518
4;15;11;0,1;0,403522257;0,692857143;0,279583278;56;367
3;16;17;0,1;0,459317725;0,607692308;0,279123848;13;3962
4;19;15;0,5;0,348705329;0,8;0,278964263;6;4716
4;19;17;0,5;0,348705329;0,8;0,278964263;6;4716
4;19;18;0,5;0,348705329;0,8;0,278964263;6;4716
4;19;16;0,5;0,348705329;0,8;0,278964263;6;4716
3;19;18;0,5;0,348705329;0,8;0,278964263;6;4716
3;19;17;0,5;0,348705329;0,8;0,278964263;6;4716
4;19;19;0,5;0,348705329;0,8;0,278964263;6;4716
3;19;15;0,5;0,348705329;0,8;0,278964263;6;4716
3;19;19;0,5;0,348705329;0,8;0,278964263;6;4716
3;19;16;0,5;0,348705329;0,8;0,278964263;6;4716
4;19;19;0,1;0,348705329;0,8;0,278964263;6;4715
4;10;12;0,1;0,395888228;0,703921569;0,278674262;51;402
4;13;10;0,1;0,39984517;0,696923077;0,278661326;65;376
3;19;14;0,1;0,442131749;0,63;0,278543002;10;4518
3;19;12;0,1;0,442131749;0,63;0,278543002;10;4518
3;19;13;0,1;0,442131749;0,63;0,278543002;10;4518
4;14;15;0,3;0,412407218;0,675;0,278374872;8;4696
2;19;14;0,5;0,381646075;0,728571429;0,278056426;7;4715
2;19;12;0,5;0,381646075;0,728571429;0,278056426;7;4715
2;19;12;0,3;0,381646075;0,728571429;0,278056426;7;4715
2;19;14;0,3;0,381646075;0,728571429;0,278056426;7;4715
2;19;13;0,5;0,381646075;0,728571429;0,278056426;7;4715
3;13;16;0,5;0,422861323;0,657142857;0,277880298;7;4724
3;13;17;0,5;0,422861323;0,657142857;0,277880298;7;4724
3;13;18;0,5;0,422861323;0,657142857;0,277880298;7;4724
3;13;15;0,5;0,422861323;0,657142857;0,277880298;7;4724
3;13;19;0,5;0,422861323;0,657142857;0,277880298;7;4724
3;19;11;0,1;0,430092956;0,645454545;0,277605454;11;4518
4;10;19;0,3;0,402247583;0,685714286;0,275826914;7;4721
4;10;17;0,5;0,402247583;0,685714286;0,275826914;7;4721
4;10;16;0,5;0,402247583;0,685714286;0,275826914;7;4721
4;10;18;0,5;0,402247583;0,685714286;0,275826914;7;4721
2;18;15;0,5;0,337487073;0,816666667;0,275614443;6;4708
3;12;14;0,1;0,378732944;0,726666667;0,275212606;45;639
4;10;15;0,1;0,374733369;0,734146341;0,275109132;41;408
4;14;11;0,1;0,394636239;0,696666667;0,274929913;60;337
2;10;16;0,5;0,400493907;0,685714286;0,274624394;7;4720
2;10;18;0,5;0,400493907;0,685714286;0,274624394;7;4720
2;10;19;0,5;0,400493907;0,685714286;0,274624394;7;4720
2;10;17;0,5;0,400493907;0,685714286;0,274624394;7;4720
3;12;13;0,1;0,381145197;0,720408163;0,274580111;49;539
4;17;10;0,1;0,379689327;0,72295082;0,27449671;61;383
4;13;11;0,1;0,380254819;0,720338983;0,27391237;59;369
4;12;11;0,1;0,393891271;0,695238095;0,273848217;63;346
4;11;12;0,5;0,369697384;0,7375;0,27265182;8;4721
2;15;17;0,3;0,38915111;0,7;0,272405777;7;4708
2;14;16;0,5;0,38915111;0,7;0,272405777;7;4708
2;14;19;0,5;0,38915111;0,7;0,272405777;7;4708
2;14;18;0,5;0,38915111;0,7;0,272405777;7;4708
2;14;17;0,5;0,38915111;0,7;0,272405777;7;4708
2;15;16;0,3;0,38915111;0,7;0,272405777;7;4708
2;15;18;0,3;0,38915111;0,7;0,272405777;7;4708
2;15;19;0,3;0,38915111;0,7;0,272405777;7;4708
4;17;10;0,5;0,394438268;0,688888889;0,27172414;9;4689
3;19;13;0,5;0,404346837;0,671428571;0,271490019;7;4716
3;19;12;0,5;0,404346837;0,671428571;0,271490019;7;4716
3;19;14;0,5;0,404346837;0,671428571;0,271490019;7;4716
